X,Y,Z,T
0.62843895,0.85133361,0.15208435,0.25
0.79577637,0.76148986,0.12516022,0.25
0.95973301,0.67312622,0.11095047,0.25
1.11671639,0.58732605,0.14326477,0.25
1.27246571,0.50221252,0.17513657,0.25
1.4397955,0.41207885,0.15882874,0.25
0.01376057,1.14671325,0.06793976,0.25
0.16577053,1.06327819,0.11723709,0.25
0.33659649,0.97235107,0.06416321,0.25
0.4922781,0.88743591,0.09405899,0.25
0.65616417,0.79904174,0.08704376,0.25
0.81805611,0.71162414,0.0846405,0.25
0.98176193,0.62319946,0.08342362,0.25
1.14010334,0.53710937,0.10319901,0.25
1.30390072,0.44856262,0.10494232,0.25
0.03055191,1.10391235,0.11664581,0.28125
0.19244385,1.01672363,0.10364533,0.28125
0.35068607,0.93061828,0.12452698,0.28125
0.51862145,0.84092712,0.08329773,0.28125
0.68115044,0.75303649,0.08370972,0.28125
0.83996201,0.66680908,0.09722901,0.28125
1.00636292,0.57728576,0.08092117,0.28125
1.16556263,0.49082946,0.09529495,0.28125
1.32851696,0.40258789,0.10059357,0.28125
0.04305935,1.05752563,0.11368942,0.28125
0.205122,0.96998596,0.10927582,0.28125
0.36083984,0.88505554,0.13469696,0.28125
0.5237236,0.79710388,0.12908554,0.28125
0.68444347,0.71012878,0.1301918,0.28125
0.84797192,0.62179565,0.1256485,0.28125
1.01296997,0.53302001,0.10780716,0.28125
1.17059422,0.44694519,0.13763428,0.28125
1.33402443,0.35870361,0.1318512,0.28125
1.49803543,0.26997375,0.13236618,0.28125
0.06044006,1.01031494,0.10579682,0.28125
0.22216702,0.92289733,0.1059227,0.28125
0.38299942,0.83604431,0.10357666,0.28125
0.54131127,0.74987793,0.12560272,0.28125
0.69972706,0.66386413,0.14000321,0.28125
0.76078224,0.61624145,0.67889404,0.28125
0.91164208,0.53356933,0.72051239,0.28125
1.19366741,0.39768981,0.11148834,0.28125
1.34559345,0.31414794,0.16424561,0.28125
1.51882935,0.22167968,0.12187958,0.28125
0.07901192,0.97135925,0.09626389,0.3125
0.23625565,0.88574218,0.12249375,0.3125
0.39462662,0.79992675,0.13384247,0.3125
0.55982208,0.71118164,0.11730576,0.3125
0.7232151,0.62332153,0.10465622,0.3125
0.88325501,0.53645324,0.12111664,0.3125
1.04246903,0.45013427,0.13447571,0.3125
1.20803166,0.36099243,0.12525177,0.3125
1.36349774,0.27610778,0.15982437,0.3125
0.09364033,0.92971801,0.06695175,0.3125
0.25044537,0.84442138,0.08682633,0.3125
0.40999031,0.75778198,0.10191345,0.3125
0.57762623,0.6682434,0.06463242,0.3125
0.73574448,0.5820465,0.0910492,0.3125
0.90155888,0.49305725,0.06912613,0.3125
1.05922794,0.40698242,0.10005951,0.3125
1.21940613,0.32011413,0.11087036,0.3125
1.38413143,0.23115539,0.10897064,0.3125
0.110569,0.88616943,0.06935501,0.3125
0.26584053,0.80142211,0.09917069,0.3125
0.43776894,0.71011352,0.04341889,0.3125
0.59441185,0.6247406,0.06923676,0.3125
0.75682545,0.53694152,0.07214737,0.3125
0.91726589,0.45010376,0.0789032,0.3125
1.0761652,0.3635559,0.10417175,0.3125
1.24629593,0.27275085,0.06656647,0.3125
1.41121292,0.18371582,0.06536484,0.3125
0.13157845,0.85110473,0.05640411,0.34375
0.28731156,0.76620483,0.08433914,0.34375
0.44943524,0.67863464,0.08535004,0.34375
0.61576557,0.58964538,0.05669403,0.34375
0.77179814,0.50428772,0.0946312,0.34375
0.93679142,0.41569519,0.07777023,0.34375
1.09867573,0.32798767,0.08764267,0.34375
1.26001263,0.24069213,0.09355164,0.34375
1.42849922,0.15026855,0.07447815,0.34375
0.13266945,0.81790161,0.07904434,0.34375
0.2923727,0.73123168,0.09339142,0.34375
0.45395374,0.64408874,0.08904266,0.34375
0.61673737,0.55621337,0.08831787,0.34375
0.77786541,0.46913147,0.09044266,0.34375
0.94086552,0.38105773,0.09223557,0.34375
1.09764671,0.295578,0.1197319,0.34375
1.26320553,0.20639038,0.11201859,0.34375
1.42673111,0.11817932,0.10903931,0.34375
0.14421368,0.77600097,0.06573868,0.375
0.302351,0.68988037,0.08875656,0.375
0.46014023,0.60412597,0.10544205,0.375
0.62154484,0.51672363,0.11220169,0.375
0.7916565,0.42619323,0.06640244,0.375
1.11057758,0.25279235,0.10297775,0.375
1.27469254,0.16410827,0.1036644,0.375
1.43659401,0.07647705,0.10934448,0.375
0.00050545,0.82743835,0.0917244,0.375
0.16281986,0.74012756,0.07854462,0.375
0.3218174,0.65367126,0.09642792,0.375
0.48063946,0.56750488,0.10770798,0.375
0.64183045,0.48016357,0.11583328,0.375
0.80294323,0.3930664,0.11689758,0.375
0.9667654,0.30464172,0.11413956,0.375
1.13458634,0.21481323,0.08608627,0.375
1.2939682,0.12797546,0.10931778,0.375
1.45706368,0.03985595,0.10916901,0.375
0.01559353,0.78448486,0.07303238,0.375
0.18049336,0.69596862,0.05503082,0.375
0.33929634,0.60983276,0.06661606,0.375
0.50329304,0.52149963,0.05836868,0.375
0.66716194,0.43338012,0.04580689,0.375
0.82886124,0.34576416,0.05467224,0.375
0.99567509,0.25639343,0.0308342,0.375
1.14999008,0.17152404,0.08018112,0.375
1.32532883,0.07870483,0.01937866,0.375
0.02611733,0.73936462,0.07882691,0.40625
0.19155884,0.6506195,0.05834961,0.40625
0.35035324,0.56446838,0.06994248,0.40625
0.51624584,0.47537231,0.05278015,0.40625
0.67940617,0.38745117,0.04497528,0.40625
0.83950424,0.30039978,0.06283569,0.40625
1.00499058,0.21150207,0.04667664,0.40625
1.17386055,0.12095642,0.02411652,0.40625
1.33992005,0.03161621,0.01241303,0.40625
0.05443382,0.69314575,0.06668854,0.40625
0.21800423,0.6050415,0.05842972,0.40625
0.37976456,0.51779174,0.05422592,0.40625
0.54497051,0.42893981,0.04159165,0.40625
0.70228291,0.34317016,0.06625366,0.40625
0.86991501,0.25328064,0.04499436,0.40625
1.0318985,0.16567993,0.04774094,0.40625
1.1993351,0.07566833,0.03367996,0.40625
0.07733154,0.64459228,0.04182053,0.40625
0.23429108,0.55877685,0.07240296,0.40625
