X,Y,Z
0.460601,1.144788,0.083122
0.466238,1.148472,0.051605
0.614548,1.195685999,0.045018
0.2757,1.043455,0.122227
0.277405,1.044596,0.11224
0.421232,1.088996,0.129016
0.422424,1.089779,0.12227
0.570606,1.13703,0.114568
0.571195,1.13741,0.111346
0.718821,1.184014,0.111452
0.394456,1.04178,0.080222
0.395326,1.042354,0.075233
0.541054,1.087875,0.082472
0.328672,0.978695,0.117834
0.333248,0.981745,0.091111
0.481314,1.028938,0.082825
0.486043,1.032035,0.056134
0.625485,1.073524999,0.097451
1.910559,1.464898,0.328534
0.39118,0.957922,0.142365
0.39146,0.958107,0.140749
0.539793,1.00557,0.130076
0.54276,1.007501,0.113511
0.692818,1.055806,0.097888
1.218537,1.202522,0.417919
0.463991,0.946045,0.081167
0.468634,0.949105999,0.054611
0.622113,0.999797,0.017293
0.999465,1.099235,0.34491
0.376208,0.879887,0.116124
0.377636,0.880842,0.107753
0.521808,0.925632,0.119558
0.524735,0.927553,0.102987
0.670757,0.973507,0.105144
0.461402,0.870814,0.074487
0.461402,0.870814,0.074487
0.384781,0.803983,0.15053
0.386475,0.805118,0.140543
0.537745,0.854575,0.111083
0.537745,0.854575,0.111083
0.681692,0.898921,0.128155
0.684405,0.900677,0.113211
0.456712,0.787772,0.081174
0.460709,0.790434,0.057829
0.522772,0.73171,0.082127
0.415941,0.661053,0.092584
0.558843,0.705197,0.107844
0.563468,0.708262,0.081131
0.713039,0.756446999,0.064176
0.450896,0.635206,0.087064
0.455357,0.638215,0.060471
0.481177,0.604757,0.11133
0.4837,0.606455,0.096345
0.59061,0.520103999,0.089044
0.532635,0.388265,0.074628
0.690651,0.19879,0.112188
0.717451,0.165967,0.115446
0.728232,0.131059,0.076366
0.724842,0.080744999,0.103264
3.228928,1.00895,0.093221
3.231734,1.009475,0.076524
3.082983,0.948318,0.099361
3.088431,0.949293,0.065787
2.933355,0.887144,0.131218
2.941486,0.888528,0.079254
2.791819,0.827456,0.114188
2.797893,0.828432,0.073884
2.645897,0.767074999,0.126549
2.650283,0.767735,0.096294
2.502534,0.707204,0.12449
2.507225,0.707858,0.090794
2.360704,0.647613999,0.113154
2.364531,0.648101,0.084483
2.216189,0.587711,0.122822
2.219418,0.58808,0.097548
2.073576,0.5281,0.120537
2.076045,0.528347,0.100301
1.930561,0.468491,0.122621
1.932726,0.468673999,0.10401
1.787436,0.408966,0.128051
1.789314,0.409092,0.111068
3.345421,1.119829,0.057485
3.188387,1.056886,0.126035
3.197907,1.058706,0.069144
3.048677,0.997382999,0.094398
3.054364,0.998423,0.059194
2.902046,0.936639,0.106315
2.90728,0.937551,0.072707
2.757308,0.876292,0.107812
2.762086,0.87708,0.075951
2.611442,0.815855,0.119344
2.616297,0.816606,0.085673
2.466098,0.755613,0.130243
2.469819,0.756147,0.103372
2.323236,0.695773,0.124436
2.326587,0.696215,0.099179
2.179667,0.635873,0.124781
2.182443,0.636202999,0.102923
2.033658,0.575803,0.147524
2.036111,0.57606,0.127288
1.893173,0.516406,0.127199
1.895323,0.516598,0.108586
1.751873,0.456949,0.114213
1.754098,0.457109,0.09395
1.606705,0.397251,0.137488
1.60863,0.397354,0.119001
1.46501,0.337825,0.129671
