X,Y,Z
3.35171509,1.09790612,0.06542969
3.35763932,1.09927559,0.02844238
3.21406937,1.03793526,0.09204101
3.22264672,1.039850241,0.03649902
3.08222771,0.97934151,0.08349609
3.08723259,0.98041726,0.04980469
2.95496178,0.92170143,0.04321289
3.4045887,1.16622734,0.05432129
3.26712418,1.10624123,0.07897949
3.27136231,1.10721016,0.05212402
3.13389588,1.047273641,0.07824707
3.13874817,1.04834175,0.04626465
3.00042916,0.98835755,0.08215332
3.00559998,0.98945237,0.04663086
2.86797524,0.9296856,0.07983398
2.87342835,0.93078614,0.04101562
2.73135567,0.87024498,0.10961914
2.73613167,0.87116242,0.07409668
2.60153962,0.81219483,0.09118652
2.60546685,0.81290436,0.06079101
2.46702576,0.75334549,0.11071777
2.47100449,0.75401497,0.07849121
2.33589554,0.695163731,0.10571289
2.33888817,0.69562912,0.08020019
2.20434571,0.636936191,0.1048584
2.2073803,0.63736344,0.07775879
2.07309342,0.578842171,0.1040039
2.07561112,0.57915497,0.08032226
1.94253922,0.52080346,0.09570312
1.94408417,0.52096939,0.08032226
1.81115914,0.46271515,0.09667969
1.81229401,0.46281433,0.08483887
1.68047524,0.40476036,0.0925293
1.68169022,0.40483857,0.07897949
1.54840279,0.34675026,0.1048584
1.54883004,0.34676743,0.09985351
1.41784859,0.28887368,0.10144043
1.41877175,0.28888512,0.08959961
1.28743935,0.23105431,0.09765625
1.28780938,0.23104477,0.0925293
1.15569878,0.17333031,0.11413574
1.15614892,0.173301701,0.10742187
1.02565003,0.11559868,0.10839844
1.02565003,0.11559868,0.10839844
0.89568139,0.05783844,0.10058594
0.89587212,0.05780793,0.09716797
0.76578713,4.00599E-05,0.09069824
0.7659607,0,0.08728027
3.44322205,1.22826958,0.04650879
3.30381012,1.16774941,0.08190918
3.30865097,1.16887284,0.05151367
3.17331505,1.10938836,0.06396484
3.17873955,1.11060334,0.02880859
3.03897095,1.05018807,0.07189941
3.04520798,1.05153275,0.02978515
2.90553475,0.99127579,0.07653808
2.91082001,0.9923687,0.03942871
2.77062989,0.9321518,0.09399414
2.77524186,0.9330597,0.06030273
2.63967514,0.87384987,0.08398437
2.64277268,0.8744278,0.0604248
2.50671578,0.81521798,0.0904541
2.51011086,0.81581116,0.06347656
2.37346459,0.75665284,0.10290527
2.37690545,0.75720978,0.07409668
2.2416153,0.69836235,0.1048584
2.24392701,0.698703771,0.0847168
2.11153985,0.640384681,0.09301758
2.11356163,0.64065361,0.07434082
1.97966958,0.58219529,0.0982666
1.98089791,0.582338341,0.08642578
1.84897233,0.524269111,0.09606933
1.85046769,0.52441216,0.08068848
1.71821404,0.46634484,0.09472656
1.71945954,0.4664383,0.08105469
1.58576584,0.40839577,0.11474609
1.58693696,0.40845681,0.10119629
1.45680809,0.3506279,0.09436035
1.4577694,0.35065079,0.08239746
1.32574463,0.29288864,0.10241699
1.32613564,0.292886741,0.09729004
1.19559861,0.23522377,0.10070801
1.195961,0.23520851,0.09545898
1.0651474,0.17761231,0.10461426
1.06546975,0.1775837,0.0994873
0.93482399,0.1200943,0.10949707
0.93482399,0.1200943,0.10949707
0.80495644,0.062599191,0.10913086
0.80504418,0.06258202,0.10754394
0.67614174,0.00472451,0.08374023
0.67614174,0.00472451,0.08374023
3.49808884,1.29706383,0.01940918
3.35182763,1.23480606,0.09448242
3.35838318,1.23635865,0.05407715
3.21747399,1.17552376,0.10095215
3.22327233,1.17685318,0.06396484
3.08848381,1.11751366,0.07434082
3.09459115,1.11886406,0.03393555
2.95483017,1.058467871,0.07861328
2.96217728,1.06002617,0.0279541
2.82115937,0.99950028,0.08532715
2.82540703,1.0003624,0.05493164
2.68906975,0.9408989,0.08215332
2.69358445,0.94176865,0.04846191
2.55493165,0.88202095,0.09777832
2.55796433,0.882572181,0.07409668
2.4226265,0.82352639,0.10058594
2.42616272,0.82412529,0.07177734
2.29261971,0.76548005,0.08642578
2.2950039,0.76585198,0.06604004
2.15844727,0.7068367,0.10949707
2.16071892,0.70715905,0.08911133
2.02745247,0.64873696,0.10681152
2.02924729,0.64896202,0.08984375
1.89629555,0.5906601,0.10693359
