X,Y,Z
3.59147263,1.89978599,0.00366211
3.54939079,1.92054367,0.01757812
3.54925156,1.92040825,0.0123291
3.55980492,1.78120232,0.0111084
3.55980492,1.78120232,0.0111084
3.16333199,2.33049202,0.01696777
3.16315269,2.330467219,0.01171875
3.21036148,2.196784969,0.03161621
3.21025085,2.19674873,0.02819824
3.08619308,2.42940712,0
3.1337738,2.29560089,0.02954101
3.13354111,2.295562739,0.02270508
3.18095398,2.16199684,0.04992676
3.18057632,2.16186523,0.03808594
3.22611618,2.02741432,0.00439453
3.36591721,1.62538338,0.00512695
3.50604248,1.22336578,0.01501465
2.96774673,2.64476204,0.00622558
2.96754456,2.644811629,0.00109863
3.01464462,2.51065636,0.01379394
3.01432419,2.5106926,0.00524902
3.06149864,2.376562119,0.02026367
3.06113815,2.37654877,0.01013183
3.10881615,2.24270058,0.04187012
3.10858917,2.242652889,0.03515625
3.15509605,2.10863686,0.03271484
3.15482712,2.10852814,0.02416992
3.20134354,1.97447205,0.02160644
3.20089149,1.97418976,0.00634765
3.24770927,1.84029198,0.01379394
3.24756622,1.84016609,0.00854492
3.29461288,1.70645142,0.02404785
3.2941761,1.705940249,0.00695801
3.34126854,1.57257271,0.02709961
3.3408699,1.57197189,0.0102539
3.38781738,1.4383049,0.0234375
3.38748741,1.43767357,0.00817871
3.43457794,1.30424309,0.02758789
3.4344101,1.30384254,0.01904297
3.48126411,1.1702919,0.03088379
3.48114586,1.16993713,0.02416992
2.90097618,2.71146393,0.01623535
2.90083504,2.7115097,0.01281738
2.94819641,2.577219009,0.03125
2.9480629,2.577245709,0.02783203
2.99456406,2.44310188,0.02392578
2.99437523,2.44311333,0.01879883
3.04163742,2.30904961,0.03662109
3.04146004,2.30903053,0.03161621
3.08956528,2.17549133,0.07775879
3.08934212,2.1754303,0.07104492
3.13406944,2.04063797,0.01184082
3.13375092,2.04048157,0.00146484
3.19015312,1.91311073,0.33630371
3.18073654,1.90639114,0.01147461
3.22757149,1.77243614,0.01855469
3.22738457,1.77225494,0.01159668
3.27436066,1.638324739,0.02282715
3.27406311,1.637939449,0.01086426
3.32100296,1.50401497,0.02111816
3.32084656,1.503759379,0.0144043
3.36759377,1.36921883,0.01342773
3.41531754,1.23757362,0.06738281
